"Country.Name" "Country.Code" "Indicator.Name" "Indicator.Code" "X1960" "X1961" "X1962" "X1963" "X1964" "X1965" "X1966" "X1967" "X1968" "X1969" "X1970" "X1971" "X1972" "X1973" "X1974" "X1975" "X1976" "X1977" "X1978" "X1979" "X1980" "X1981" "X1982" "X1983" "X1984" "X1985" "X1986" "X1987" "X1988" "X1989" "X1990" "X1991" "X1992" "X1993" "X1994" "X1995" "X1996" "X1997" "X1998" "X1999" "X2000" "X2001" "X2002" "X2003" "X2004" "X2005" "X2006" "X2007" "X2008" "X2009" "X2010" "X2011" "X2012" "X2013" "X2014" "lon" "lat"
"57" "Botswana" "BWA" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 169.6 164.1 158.9 153.7 148.8 144 139.5 134.9 130.3 125.7 121 116.2 111.2 106.2 101.2 96.1 91.1 86.2 81.6 77.1 72.9 69.1 65.6 62.3 59.5 57.1 55.1 53.7 53 53.1 54.2 56.4 59.1 62.4 66.1 69.9 73.5 76.5 79 82 82.9 81.6 79.8 78.1 75.8 69 63.4 62.6 61.7 57.3 53.5 51.8 49.5 46.6 44.8 24 -22
"60" "Brazil" "BRA" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 171.9 167.2 162.7 158.4 154.5 150.7 147.2 143.9 140.5 137 133.5 129.8 126.1 122.5 118.9 115.3 111.7 107.9 104 99.7 95.3 90.8 86.5 82.4 78.6 75.1 71.9 68.8 66 63.4 60.8 58.2 55.4 52.5 49.4 46.3 43.2 40.2 37.2 34.5 32 29.6 27.4 25.4 23.6 21.9 20.4 19.2 18.1 17.2 16.6 16.2 16 16 16.2 -55 -10
"67" "Burkina Faso" "BFA" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 347.6 343.1 338.7 334.5 331 328 325.2 322.9 321.4 320.1 319.1 317.3 313.9 307.9 299.2 288.5 277 265.7 255.8 247.8 241.2 236.1 231.8 227.8 223.7 219.2 214.4 209.6 205.8 203.4 202.2 201.8 202.1 202 201.1 199.4 197 194 191.3 188.5 185.7 182.4 178.3 173.1 166.3 158.3 149.4 139.9 130.4 121.4 113.5 106.9 101.4 96.6 92.4 -2 13
"76" "Cameroon" "CMR" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 281.6 275.7 271.1 267.2 262.8 257.3 250.4 242 232.3 222.5 213 204.7 198.4 194.3 192 191.1 190.9 190.4 188.7 185.8 181.6 176.3 170.1 163.4 156.6 150.2 144.7 140.7 138.1 137.2 138 140 142.8 146 149 151.8 154 155.3 155.3 153.8 150.4 145.7 140.2 134.7 129.6 125.1 120.7 116.6 112.8 109 104.8 101 97.4 93.9 90.6 12 6
"79" "Canada" "CAN" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 32.6 31.6 30.5 29.4 28.2 27.1 26 25 23.9 23 22 21 19.9 19 18 17 16 15.1 14.2 13.3 12.5 11.8 11.2 10.6 10.1 9.7 9.4 9.1 8.8 8.6 8.3 8 7.7 7.4 7.2 6.9 6.7 6.5 6.4 6.3 6.2 6.2 6.2 6.1 6.1 6.1 6 5.9 5.8 5.7 5.6 5.4 5.3 5.2 5 -113.64258 60.10867
"82" "Caribbean small states" "CSS" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 81.9905961998395 78.4973703866263 75.3803154424532 72.6115580805767 70.1812569406683 67.9779950798559 66.0386197226982 65.8914633219886 63.0544882381824 61.892165171396 60.8142216564518 59.1647682710089 57.5684003152088 56.0270017919457 54.5888869505804 53.1888829961132 51.7920149367144 50.3962131716394 48.9850534162198 47.6866796954636 46.3851188160089 45.1042247317822 43.8674950067033 43.6744309434442 42.2564728834862 41.1846854674701 40.1063538742592 39.0455760148649 38.0137212149784 36.9949305569407 35.8934699480998 34.8231182211107 33.8241126341046 32.8288233154751 31.8762427294652 30.9566064608014 30.0760684321879 29.2779279712773 28.4683663117076 27.7559981684982 27.0950086005176 26.4814202495224 25.9195468595647 25.358094078958 24.8312637371583 24.3340494850437 23.8942265282355 23.39531369358 22.9171594671916 22.4370457533856 21.9691194149048 21.4760634663563 21.0381941859285 20.5366636689122 20.0440315842317 NA NA
"85" "Central African Republic" "CAF" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 283.7 278.1 272.6 266.5 260.4 253.9 247.1 240.7 234.2 228.2 222.5 217.1 212.1 207.5 203.3 199.3 195.7 192.3 189 186.1 183.5 181.5 180 178.9 178.2 177.8 177.4 177.2 177 176.8 176.5 176.2 176 176.1 176.4 176.7 177 176.9 176.5 175.7 174.8 173.5 171.9 170.3 168.4 166.2 163.9 161.3 158.2 154.2 150.2 146.2 142.1 138.5 134 21 7
"94" "Chile" "CHL" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 157.3 148.5 142.3 135.8 126.8 115.9 104.5 94.1 86.2 81.7 79.6 78.4 77 74.6 70.6 64.7 57.1 48.8 41.7 36.8 33.2 30.1 27 24.6 23.1 22.4 22.1 21.9 21.4 20.4 19.1 17.7 16.4 15.1 14 13.1 12.5 12.2 12 11.5 10.9 10.3 9.8 9.5 9.3 9.1 9 8.9 8.9 8.8 8.8 8.7 8.6 8.4 8.3 -71 -30
"99" "Colombia" "COL" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 127.3 124.6 122 119.4 116.7 114 111.1 108 104.6 101.1 97.6 94 90.4 86.7 82.8 78.7 74.3 69.9 65.5 61.3 57.4 53.7 50.3 47.3 44.6 42.3 40.3 38.7 37.4 36.2 35.1 34.1 33.1 32.1 31 30 28.9 27.9 26.9 26 25.1 24.3 23.6 22.9 22.2 21.5 20.9 20.3 19.7 19.1 18.5 18 17.4 16.9 16.4 -72 4
"106" "Congo, Rep." "COG" "Mortality rate, under-5 (per 1,000 live births)" "SH.DYN.MORT" 184.4 180.2 176 172.3 168.3 163.9 159.4 155 150.9 147 143.1 139.5 135.7 132.2 129.3 126.3 123.3 120.5 117.7 114.7 111.9 109.1 106.2 103.2 100.2 97.5 95.3 93.7 92.8 92.8 93.6 95.2 97.4 100.2 103.8 107.7 111.9 116 119.3 121.4 121.6 119.7 115.6 109.8 102.9 95.3 87.4 79.9 72.6 66.1 60.6 56.1 52.6 49.6 47.1 103.86056 13.36179
